vitri,noilmviec,mucluong,ThoiGianDangGoc,kynang,link,NgayDang
AI Engineer,Hà Nội,Thỏa thuận,8 giờ trước,"Docker, Machine Learning, R",https://jobs.xomdata.com/jobs/685141,2026-07-10 05:48:01.153
BA,TP. Hồ Chí Minh,Thỏa thuận,8 giờ trước,"Machine Learning, R",https://jobs.xomdata.com/jobs/685140,2026-07-10 05:48:01.153
DS,Hà Nội,Thỏa thuận,8 giờ trước,"Python, SQL, Spark, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/685138,2026-07-10 05:48:01.153
Other,TP. Hồ Chí Minh,Thỏa thuận,8 giờ trước,"SQL, Power BI, Excel, AWS, Azure, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/685137,2026-07-10 05:48:01.153
AI Engineer,TP. Hồ Chí Minh,Thỏa thuận,9 giờ trước,"Python, Machine Learning, R",https://jobs.xomdata.com/jobs/685135,2026-07-10 04:48:01.153
AI Engineer,Hà Nội,Thỏa thuận,9 giờ trước,"Python, SQL, Machine Learning, R",https://jobs.xomdata.com/jobs/685134,2026-07-10 04:48:01.153
DE,Hà Nội,Thỏa thuận,9 giờ trước,"Python, SQL, Tableau, Spark, AWS, Azure, ETL, Machine Learning, R",https://jobs.xomdata.com/jobs/685132,2026-07-10 04:48:01.153
AI Engineer,TP. Hồ Chí Minh,Thỏa thuận,9 giờ trước,"Python, Machine Learning, R",https://jobs.xomdata.com/jobs/685130,2026-07-10 04:48:01.153
DE,Toàn quốc / Chưa rõ,Thỏa thuận,9 giờ trước,"Python, SQL, Tableau, Spark, AWS, Azure, ETL, Machine Learning, R",https://jobs.xomdata.com/jobs/685128,2026-07-10 04:48:01.153
DS,Hà Nội,Thỏa thuận,9 giờ trước,"Python, SQL, Pandas, Docker, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/685129,2026-07-10 04:48:01.153
BA,Hà Nội,Thỏa thuận,10 giờ trước,"Machine Learning, R",https://jobs.xomdata.com/jobs/685127,2026-07-10 03:48:01.153
AI Engineer,TP. Hồ Chí Minh,Thỏa thuận,10 giờ trước,"Python, SQL, Machine Learning, R",https://jobs.xomdata.com/jobs/685126,2026-07-10 03:48:01.153
Other,Hà Nội,Thỏa thuận,10 giờ trước,"SQL, Tableau, Spark, Machine Learning, R",https://jobs.xomdata.com/jobs/685124,2026-07-10 03:48:01.153
DE,Hà Nội,Thỏa thuận,10 giờ trước,"Python, SQL, Power BI, Tableau, Spark, Machine Learning, R",https://jobs.xomdata.com/jobs/685123,2026-07-10 03:48:01.153
AI Engineer,Hà Nội,Thỏa thuận,11 giờ trước,"Python, Excel, AWS, Azure, Machine Learning, R",https://jobs.xomdata.com/jobs/685121,2026-07-10 02:48:01.153
DA,TP. Hồ Chí Minh,Thỏa thuận,11 giờ trước,"Power BI, Tableau, Excel, Machine Learning, R",https://jobs.xomdata.com/jobs/685118,2026-07-10 02:48:01.153
BA,Hà Nội,Thỏa thuận,12 giờ trước,"Power BI, Excel, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/685117,2026-07-10 01:48:01.153
Other,Hà Nội,Thỏa thuận,13 giờ trước,"Python, Excel, Machine Learning, R",https://jobs.xomdata.com/jobs/685113,2026-07-10 00:48:01.153
AI Engineer,TP. Hồ Chí Minh,Thỏa thuận,20 giờ trước,"Python, SQL, Excel, Machine Learning, R",https://jobs.xomdata.com/jobs/684707,2026-07-09 17:48:01.153
AI Engineer,Hà Nội,Thỏa thuận,20 giờ trước,"Python, AWS, Docker, Machine Learning, R",https://jobs.xomdata.com/jobs/684409,2026-07-09 17:48:01.153
AI Engineer,TP. Hồ Chí Minh,Thỏa thuận,20 giờ trước,"Python, Machine Learning, R",https://jobs.xomdata.com/jobs/684281,2026-07-09 17:48:01.153
BA,Hà Nội,Thỏa thuận,20 giờ trước,"SQL, Azure, Machine Learning, R",https://jobs.xomdata.com/jobs/683857,2026-07-09 17:48:01.153
Other,Toàn quốc / Chưa rõ,Thỏa thuận,20 giờ trước,"Machine Learning, R",https://jobs.xomdata.com/jobs/677021,2026-07-09 17:48:01.153
Other,Toàn quốc / Chưa rõ,Thỏa thuận,20 giờ trước,"Machine Learning, R",https://jobs.xomdata.com/jobs/626171,2026-07-09 17:48:01.153
BA,Hà Nội,Thỏa thuận,20 giờ trước,"SQL, Machine Learning, R",https://jobs.xomdata.com/jobs/620234,2026-07-09 17:48:01.153
DE,TP. Hồ Chí Minh,Thỏa thuận,20 giờ trước,"Python, SQL, Azure, ETL, Machine Learning, R",https://jobs.xomdata.com/jobs/585319,2026-07-09 17:48:01.153
AI Engineer,TP. Hồ Chí Minh,Thỏa thuận,20 giờ trước,"Python, Azure, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/473929,2026-07-09 17:48:01.153
Other,Toàn quốc / Chưa rõ,Thỏa thuận,20 giờ trước,"Python, SQL, Excel, Spark, AWS, Machine Learning, R",https://jobs.xomdata.com/jobs/261640,2026-07-09 17:48:01.153
Other,Hà Nội,15 - 25 triệu,Vừa đăng,"Python, SQL, Power BI, Tableau, Excel, Pandas, ETL, Machine Learning, R",https://jobs.xomdata.com/jobs/685163,2026-07-10 13:48:01.153
Other,TP. Hồ Chí Minh,Thỏa thuận,Vừa đăng,"Python, SQL, Spark, Docker, Machine Learning, R",https://jobs.xomdata.com/jobs/685162,2026-07-10 13:48:01.153
Other,Hà Nội,Thỏa thuận,Vừa đăng,"Machine Learning, R",https://jobs.xomdata.com/jobs/685164,2026-07-10 13:48:01.153
DS,Hà Nội,20 triệu,Vừa đăng,"Python, SQL, Tableau, Pandas, NumPy, Machine Learning, R",https://jobs.xomdata.com/jobs/685159,2026-07-10 13:48:01.153
Other,Hà Nội,Thỏa thuận,Vừa đăng,"Python, SQL, AWS, Machine Learning, R",https://jobs.xomdata.com/jobs/685106,2026-07-10 13:48:01.153
BA,Hà Nội,Thỏa thuận,Vừa đăng,"Python, SQL, Power BI, Tableau, AWS, ETL, Machine Learning, R",https://jobs.xomdata.com/jobs/685103,2026-07-10 13:48:01.153
Other,TP. Hồ Chí Minh,Thỏa thuận,Vừa đăng,"Python, Excel, Machine Learning, R",https://jobs.xomdata.com/jobs/685097,2026-07-10 13:48:01.153
BA,TP. Hồ Chí Minh,Thỏa thuận,21 giờ trước,"Excel, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/685093,2026-07-09 16:48:01.153
BA,Hà Nội,Thỏa thuận,22 giờ trước,"Excel, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/685089,2026-07-09 15:48:01.153
BA,Hà Nội,Thỏa thuận,Vừa đăng,"Machine Learning, R",https://jobs.xomdata.com/jobs/685083,2026-07-10 13:48:01.153
BA,Hà Nội,Thỏa thuận,Vừa đăng,"Power BI, Machine Learning, R",https://jobs.xomdata.com/jobs/685082,2026-07-10 13:48:01.153
DE,TP. Hồ Chí Minh,Thỏa thuận,Vừa đăng,"Python, SQL, Tableau, Pandas, NumPy, Spark, AWS, Docker, ETL, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/685079,2026-07-10 13:48:01.153
DE,Hà Nội,Thỏa thuận,Vừa đăng,"Python, SQL, Spark, AWS, ETL, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/685077,2026-07-10 13:48:01.153
DE,TP. Hồ Chí Minh,Thỏa thuận,Vừa đăng,"Python, SQL, Spark, AWS, ETL, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/685074,2026-07-10 13:48:01.153
DE,Hà Nội,Thỏa thuận,Vừa đăng,"Python, SQL, Power BI, Tableau, AWS, Azure, ETL, Machine Learning, R",https://jobs.xomdata.com/jobs/685073,2026-07-10 13:48:01.153
DS,Hà Nội,Thỏa thuận,Vừa đăng,"Python, SQL, Pandas, NumPy, Docker, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/685071,2026-07-10 13:48:01.153
AI Engineer,TP. Hồ Chí Minh,Thỏa thuận,Vừa đăng,"Python, SQL, Excel, Pandas, NumPy, AWS, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/685070,2026-07-10 13:48:01.153
DS,TP. Hồ Chí Minh,Thỏa thuận,Vừa đăng,"Python, SQL, AWS, Machine Learning, R",https://jobs.xomdata.com/jobs/685067,2026-07-10 13:48:01.153
MLE,Hà Nội,Thỏa thuận,Vừa đăng,"Python, SQL, Pandas, NumPy, Spark, AWS, Azure, Docker, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/685068,2026-07-10 13:48:01.153
DE,Toàn quốc / Chưa rõ,Thỏa thuận,Vừa đăng,"Python, SQL, Excel, Spark, ETL, Machine Learning, R",https://jobs.xomdata.com/jobs/685066,2026-07-10 13:48:01.153
DS,Toàn quốc / Chưa rõ,21 triệu,Vừa đăng,"Python, Excel, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/685064,2026-07-10 13:48:01.153
BA,Hà Nội,Thỏa thuận,Vừa đăng,"Excel, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/685061,2026-07-10 13:48:01.153
DS,TP. Hồ Chí Minh,Thỏa thuận,Vừa đăng,"Python, SQL, Excel, Spark, Machine Learning, R",https://jobs.xomdata.com/jobs/685059,2026-07-10 13:48:01.153
DA,Hà Nội,Thỏa thuận,Vừa đăng,"Python, SQL, Tableau, Spark, Machine Learning, R",https://jobs.xomdata.com/jobs/685058,2026-07-10 13:48:01.153
AI Engineer,TP. Hồ Chí Minh,Thỏa thuận,Vừa đăng,"Python, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/685057,2026-07-10 13:48:01.153
AI Engineer,Hà Nội,Thỏa thuận,Vừa đăng,"Python, AWS, Azure, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/685054,2026-07-10 13:48:01.153
DE,Hà Nội,Thỏa thuận,Vừa đăng,"Python, SQL, Spark, AWS, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/685053,2026-07-10 13:48:01.153
Other,Hà Nội,Thỏa thuận,Vừa đăng,"Python, SQL, Machine Learning, R",https://jobs.xomdata.com/jobs/685052,2026-07-10 13:48:01.153
AI Engineer,Hà Nội,23 - 35 triệu,Vừa đăng,"Python, Pandas, NumPy, Machine Learning, R",https://jobs.xomdata.com/jobs/685051,2026-07-10 13:48:01.153
DE,Hà Nội,Thỏa thuận,Vừa đăng,"Python, SQL, Spark, Docker, ETL, Machine Learning, R",https://jobs.xomdata.com/jobs/685049,2026-07-10 13:48:01.153
BA,TP. Hồ Chí Minh,Thỏa thuận,Vừa đăng,"SQL, Power BI, Excel, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/685048,2026-07-10 13:48:01.153
BA,Hà Nội,Thỏa thuận,Vừa đăng,"Machine Learning, R",https://jobs.xomdata.com/jobs/685045,2026-07-10 13:48:01.153
BA,Hà Nội,Thỏa thuận,Vừa đăng,"Machine Learning, R",https://jobs.xomdata.com/jobs/685044,2026-07-10 13:48:01.153
Other,TP. Hồ Chí Minh,Thỏa thuận,Vừa đăng,"SQL, ETL, Machine Learning, R",https://jobs.xomdata.com/jobs/685042,2026-07-10 13:48:01.153
DA,TP. Hồ Chí Minh,Thỏa thuận,Vừa đăng,"Power BI, Tableau, Excel, Machine Learning, R",https://jobs.xomdata.com/jobs/685038,2026-07-10 13:48:01.153
Other,TP. Hồ Chí Minh,Thỏa thuận,Vừa đăng,"Python, Machine Learning, R",https://jobs.xomdata.com/jobs/685036,2026-07-10 13:48:01.153
Other,Hà Nội,Thỏa thuận,Vừa đăng,"Python, SQL, Machine Learning, R",https://jobs.xomdata.com/jobs/685034,2026-07-10 13:48:01.153
DA,Hà Nội,Thỏa thuận,Vừa đăng,"SQL, Power BI, Tableau, Machine Learning, R",https://jobs.xomdata.com/jobs/685035,2026-07-10 13:48:01.153
AI Engineer,Hà Nội,Thỏa thuận,Vừa đăng,"Python, AWS, Azure, Machine Learning, R",https://jobs.xomdata.com/jobs/685033,2026-07-10 13:48:01.153
Other,TP. Hồ Chí Minh,Thỏa thuận,Vừa đăng,"Python, SQL, Power BI, Tableau, ETL, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/685031,2026-07-10 13:48:01.153
Other,TP. Hồ Chí Minh,Thỏa thuận,Vừa đăng,"Python, SQL, Spark, Docker, ETL, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/685030,2026-07-10 13:48:01.153
AI Engineer,Toàn quốc / Chưa rõ,Thỏa thuận,Vừa đăng,"Python, SQL, Spark, AWS, Azure, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/685029,2026-07-10 13:48:01.153
DA,TP. Hồ Chí Minh,Thỏa thuận,Vừa đăng,"Python, Power BI, Tableau, Excel, Machine Learning, R",https://jobs.xomdata.com/jobs/685028,2026-07-10 13:48:01.153
DA,Hà Nội,Thỏa thuận,Vừa đăng,"Python, SQL, AWS, Azure, Machine Learning, R",https://jobs.xomdata.com/jobs/685026,2026-07-10 13:48:01.153
Other,Hà Nội,Thỏa thuận,Vừa đăng,"Machine Learning, R",https://jobs.xomdata.com/jobs/685024,2026-07-10 13:48:01.153
DA,Hà Nội,Thỏa thuận,Vừa đăng,"SQL, Power BI, Tableau, Machine Learning, R",https://jobs.xomdata.com/jobs/685025,2026-07-10 13:48:01.153
DE,Hà Nội,Thỏa thuận,Vừa đăng,"Tableau, AWS, Machine Learning, R",https://jobs.xomdata.com/jobs/685027,2026-07-10 13:48:01.153
DS,Hà Nội,Thỏa thuận,Vừa đăng,"Python, SQL, Power BI, Tableau, Spark, Machine Learning, R",https://jobs.xomdata.com/jobs/685022,2026-07-10 13:48:01.153
DE,TP. Hồ Chí Minh,Thỏa thuận,Vừa đăng,"SQL, AWS, Azure, ETL, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/685020,2026-07-10 13:48:01.153
DE,Hà Nội,Thỏa thuận,Vừa đăng,"Python, SQL, Spark, AWS, ETL, Machine Learning, R",https://jobs.xomdata.com/jobs/685019,2026-07-10 13:48:01.153
DA,Hà Nội,Thỏa thuận,Vừa đăng,"SQL, Power BI, Tableau, Excel, Machine Learning, R",https://jobs.xomdata.com/jobs/685018,2026-07-10 13:48:01.153
BI,TP. Hồ Chí Minh,Thỏa thuận,Vừa đăng,"Python, SQL, Machine Learning, R",https://jobs.xomdata.com/jobs/685017,2026-07-10 13:48:01.153
DA,TP. Hồ Chí Minh,Thỏa thuận,Vừa đăng,"Python, SQL, Power BI, Tableau, Excel, Machine Learning, R",https://jobs.xomdata.com/jobs/685015,2026-07-10 13:48:01.153
Other,Hà Nội,Thỏa thuận,Vừa đăng,"AWS, Azure, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/685013,2026-07-10 13:48:01.153
DA,TP. Hồ Chí Minh,Thỏa thuận,Vừa đăng,"Python, SQL, Machine Learning, R",https://jobs.xomdata.com/jobs/685014,2026-07-10 13:48:01.153
Other,TP. Hồ Chí Minh,Thỏa thuận,Vừa đăng,"SQL, Excel, ETL, Machine Learning, R",https://jobs.xomdata.com/jobs/685010,2026-07-10 13:48:01.153
DE,TP. Hồ Chí Minh,Thỏa thuận,Vừa đăng,"Python, SQL, AWS, Azure, ETL, Machine Learning, R",https://jobs.xomdata.com/jobs/685009,2026-07-10 13:48:01.153
BA,Hà Nội,Thỏa thuận,Vừa đăng,"Machine Learning, R",https://jobs.xomdata.com/jobs/685008,2026-07-10 13:48:01.153
MLE,Hà Nội,Thỏa thuận,Vừa đăng,"Python, SQL, Spark, Docker, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/685006,2026-07-10 13:48:01.153
DA,Hà Nội,Thỏa thuận,Vừa đăng,"Python, SQL, Power BI, Tableau, Machine Learning, R",https://jobs.xomdata.com/jobs/685007,2026-07-10 13:48:01.153
DE,TP. Hồ Chí Minh,Thỏa thuận,Vừa đăng,"SQL, Excel, Spark, AWS, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/685004,2026-07-10 13:48:01.153
DA,TP. Hồ Chí Minh,Thỏa thuận,Vừa đăng,"Python, Machine Learning, R",https://jobs.xomdata.com/jobs/685002,2026-07-10 13:48:01.153
Other,TP. Hồ Chí Minh,Thỏa thuận,Vừa đăng,"SQL, Power BI, Excel, Machine Learning, R",https://jobs.xomdata.com/jobs/684930,2026-07-10 13:48:01.153
DE,TP. Hồ Chí Minh,Thỏa thuận,Vừa đăng,"Python, SQL, Excel, AWS, ETL, Machine Learning, R",https://jobs.xomdata.com/jobs/684729,2026-07-10 13:48:01.153
DS,Toàn quốc / Chưa rõ,Thỏa thuận,Vừa đăng,"Python, SQL, AWS, Azure, Machine Learning, R",https://jobs.xomdata.com/jobs/684433,2026-07-10 13:48:01.153
AI Engineer,TP. Hồ Chí Minh,Thỏa thuận,Vừa đăng,"Python, Docker, Machine Learning, R",https://jobs.xomdata.com/jobs/684405,2026-07-10 13:48:01.153
DE,TP. Hồ Chí Minh,Thỏa thuận,Vừa đăng,"Python, SQL, Spark, Docker, Machine Learning, R",https://jobs.xomdata.com/jobs/684404,2026-07-10 13:48:01.153
AI Engineer,TP. Hồ Chí Minh,Thỏa thuận,Vừa đăng,"Python, Machine Learning, R",https://jobs.xomdata.com/jobs/684284,2026-07-10 13:48:01.153
Other,Hà Nội,Thỏa thuận,Vừa đăng,"Python, AWS, Azure, Docker, Machine Learning, R",https://jobs.xomdata.com/jobs/684191,2026-07-10 13:48:01.153
BA,TP. Hồ Chí Minh,Thỏa thuận,Vừa đăng,"Excel, Machine Learning, R",https://jobs.xomdata.com/jobs/683737,2026-07-10 13:48:01.153
BA,TP. Hồ Chí Minh,Thỏa thuận,Vừa đăng,"Excel, Machine Learning, R",https://jobs.xomdata.com/jobs/683172,2026-07-10 13:48:01.153
DA,TP. Hồ Chí Minh,Thỏa thuận,Vừa đăng,"SQL, Excel, Machine Learning, R",https://jobs.xomdata.com/jobs/683012,2026-07-10 13:48:01.153
DA,Hà Nội,Thỏa thuận,Vừa đăng,"SQL, Power BI, Excel, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/674946,2026-07-10 13:48:01.153
DS,Hà Nội,Thỏa thuận,Vừa đăng,"Python, SQL, Excel, Spark, Machine Learning, R",https://jobs.xomdata.com/jobs/665613,2026-07-10 13:48:01.153
Other,Toàn quốc / Chưa rõ,Thỏa thuận,Vừa đăng,"Machine Learning, R",https://jobs.xomdata.com/jobs/661330,2026-07-10 13:48:01.153
DA,Toàn quốc / Chưa rõ,Thỏa thuận,Vừa đăng,"Machine Learning, R",https://jobs.xomdata.com/jobs/626186,2026-07-10 13:48:01.153
AI Engineer,TP. Hồ Chí Minh,Thỏa thuận,Vừa đăng,"Python, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/563196,2026-07-10 13:48:01.153
DS,Hà Nội,Thỏa thuận,Vừa đăng,"Python, SQL, Tableau, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/414654,2026-07-10 13:48:01.153
AI Engineer,Hà Nội,Thỏa thuận,Vừa đăng,"Python, Machine Learning, R",https://jobs.xomdata.com/jobs/117611,2026-07-10 13:48:01.153
BA,Hà Nội,Thỏa thuận,2 ngày trước,"Machine Learning, R",https://jobs.xomdata.com/jobs/685047,2026-07-08 13:48:01.153
BA,TP. Hồ Chí Minh,20 triệu,2 ngày trước,"SQL, Machine Learning, R",https://jobs.xomdata.com/jobs/685043,2026-07-08 13:48:01.153
DA,Hà Nội,Thỏa thuận,2 ngày trước,"SQL, Power BI, Excel, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/685041,2026-07-08 13:48:01.153
AI Engineer,Hà Nội,Thỏa thuận,2 ngày trước,"Python, SQL, Machine Learning, R",https://jobs.xomdata.com/jobs/685023,2026-07-08 13:48:01.153
DA,TP. Hồ Chí Minh,Thỏa thuận,2 ngày trước,"Python, SQL, Power BI, Excel, AWS, Machine Learning, R",https://jobs.xomdata.com/jobs/685016,2026-07-08 13:48:01.153
BA,TP. Hồ Chí Minh,Thỏa thuận,2 ngày trước,"Machine Learning, R",https://jobs.xomdata.com/jobs/685012,2026-07-08 13:48:01.153
BA,Hà Nội,10 - 15 triệu,2 ngày trước,"SQL, Machine Learning, R",https://jobs.xomdata.com/jobs/684998,2026-07-08 13:48:01.153
DA,Hà Nội,20 - 25 triệu,2 ngày trước,"SQL, Power BI, Machine Learning, R",https://jobs.xomdata.com/jobs/685001,2026-07-08 13:48:01.153
BA,Hà Nội,9 - 15 triệu,2 ngày trước,"Machine Learning, R",https://jobs.xomdata.com/jobs/684990,2026-07-08 13:48:01.153
AI Engineer,Hà Nội,15 - 30 triệu,2 ngày trước,"Python, SQL, AWS, Azure, Docker, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/684966,2026-07-08 13:48:01.153
DA,TP. Hồ Chí Minh,Thỏa thuận,2 ngày trước,"Machine Learning, R",https://jobs.xomdata.com/jobs/684935,2026-07-08 13:48:01.153
DA,TP. Hồ Chí Minh,Thỏa thuận,2 ngày trước,"Python, SQL, Power BI, Tableau, Excel, Machine Learning, R",https://jobs.xomdata.com/jobs/684927,2026-07-08 13:48:01.153
AI Engineer,Hà Nội,Thỏa thuận,2 ngày trước,"Python, AWS, Azure, Docker, ETL, Machine Learning, R",https://jobs.xomdata.com/jobs/684926,2026-07-08 13:48:01.153
AI Engineer,Hà Nội,Thỏa thuận,2 ngày trước,"Python, Machine Learning, R",https://jobs.xomdata.com/jobs/684908,2026-07-08 13:48:01.153
BA,TP. Hồ Chí Minh,Thỏa thuận,2 ngày trước,"Machine Learning, R, Git",https://jobs.xomdata.com/jobs/684891,2026-07-08 13:48:01.153
DE,TP. Hồ Chí Minh,Thỏa thuận,2 ngày trước,"Python, SQL, Spark, ETL, Machine Learning, R",https://jobs.xomdata.com/jobs/684837,2026-07-08 13:48:01.153
AI Engineer,Hà Nội,20-30 triệu,2 ngày trước,"Python, Docker, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/684793,2026-07-08 13:48:01.153
BA,Hà Nội,Thỏa thuận,Vừa đăng,"Machine Learning, R",https://jobs.xomdata.com/jobs/684789,2026-07-10 13:48:01.153
BA,TP. Hồ Chí Minh,Thỏa thuận,Vừa đăng,"Machine Learning, R",https://jobs.xomdata.com/jobs/684788,2026-07-10 13:48:01.153
DS,Hà Nội,Thỏa thuận,Vừa đăng,"Python, SQL, Spark, Machine Learning, R",https://jobs.xomdata.com/jobs/684746,2026-07-10 13:48:01.153
DA,TP. Hồ Chí Minh,Thỏa thuận,Vừa đăng,"SQL, Excel, ETL, Machine Learning, R",https://jobs.xomdata.com/jobs/684744,2026-07-10 13:48:01.153
DE,TP. Hồ Chí Minh,Thỏa thuận,Vừa đăng,"Python, SQL, AWS, Azure, ETL, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/684741,2026-07-10 13:48:01.153
AI Engineer,TP. Hồ Chí Minh,Thỏa thuận,2 ngày trước,"Python, SQL, Machine Learning, R",https://jobs.xomdata.com/jobs/684739,2026-07-08 13:48:01.153
BA,TP. Hồ Chí Minh,Thỏa thuận,2 ngày trước,"Python, SQL, Excel, ETL, Machine Learning, R",https://jobs.xomdata.com/jobs/684737,2026-07-08 13:48:01.153
BA,TP. Hồ Chí Minh,Thỏa thuận,2 ngày trước,"Python, SQL, Excel, Machine Learning, R",https://jobs.xomdata.com/jobs/684736,2026-07-08 13:48:01.153
DA,TP. Hồ Chí Minh,Thỏa thuận,2 ngày trước,"Python, SQL, Excel, Machine Learning, R",https://jobs.xomdata.com/jobs/684731,2026-07-08 13:48:01.153
DS,Hà Nội,Thỏa thuận,2 ngày trước,"Python, SQL, Excel, Spark, Machine Learning, R",https://jobs.xomdata.com/jobs/684728,2026-07-08 13:48:01.153
