Vị trí công việc,Nơi làm việc,Mức lương,Thời gian đăng,Kỹ năng yêu cầu,Đường link chi tiết
"Senior Data Scientist, ZVAS Zalo Thoả thuận · TP.Hồ Chí Minh Senior Data Scientist 12 ngày trước",TP. Hồ Chí Minh,Thỏa thuận,12 ngày trước,"Python, SQL, Spark, ETL, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/683989
Business & Data Analyst Mountain Consultant Company Thoả thuận · TP.Hồ Chí Minh Data Analyst 12 ngày trước,TP. Hồ Chí Minh,Thỏa thuận,12 ngày trước,"Python, SQL, Power BI, Tableau, ETL, Machine Learning, R",https://jobs.xomdata.com/jobs/683979
AI Engineer (good English) Eastgate Software Thoả thuận · Hà Nội AI Engineer 12 ngày trước,Hà Nội,Thỏa thuận,12 ngày trước,"Python, Machine Learning, R",https://jobs.xomdata.com/jobs/683977
[Vietnam] Remote Senior Data Scientist Eastgate Software Thoả thuận · Việt Nam Senior Data Scientist 12 ngày trước,Toàn quốc / Chưa rõ,Thỏa thuận,12 ngày trước,"Python, Machine Learning, R",https://jobs.xomdata.com/jobs/683974
Senior AI Engineer Diksha Technologies Thoả thuận · Hà Nội Senior AI Engineer 12 ngày trước,Hà Nội,Thỏa thuận,12 ngày trước,"Python, SQL, Excel, Spark, Machine Learning, R",https://jobs.xomdata.com/jobs/683970
[Hanoi] AI Engineer (Creative Technologist) Apero Technologies Group Thoả thuận · Hà Nội AI Engineer 12 ngày trước,Hà Nội,Thỏa thuận,12 ngày trước,"Machine Learning, R",https://jobs.xomdata.com/jobs/683969
Mid-Senior Data Engineer DataXight Thoả thuận · TP.Hồ Chí Minh Senior Data Engineer 12 ngày trước,TP. Hồ Chí Minh,Thỏa thuận,12 ngày trước,"Python, SQL, Tableau, Spark, AWS, ETL, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/683967
Business Analyst (Multi-Country Digital Bank Builder) GoTymeX Thoả thuận · TP.Hồ Chí Minh Business Analyst 12 ngày trước,TP. Hồ Chí Minh,Thỏa thuận,12 ngày trước,"Python, AWS, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/683965
Business Analyst GAP GLOBAL Thoả thuận · Hà Nội Business Analyst 12 ngày trước,Hà Nội,Thỏa thuận,12 ngày trước,"Machine Learning, R",https://jobs.xomdata.com/jobs/683962
AI Engineer Savvycom - Software Product Development Thoả thuận · Hà Nội AI Engineer 12 ngày trước,Hà Nội,Thỏa thuận,12 ngày trước,"Python, SQL, Pandas, NumPy, AWS, Azure, Docker, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/683960
Senior Data Scientist SSI Securities Corporation Thoả thuận · Hà Nội Senior Data Scientist 12 ngày trước,Hà Nội,Thỏa thuận,12 ngày trước,"Power BI, Tableau, Spark, AWS, Azure, Docker, Machine Learning, R",https://jobs.xomdata.com/jobs/683958
Product Data Analyst BE GROUP Thoả thuận · TP.Hồ Chí Minh Data Analyst 12 ngày trước,TP. Hồ Chí Minh,Thỏa thuận,12 ngày trước,"Python, SQL, Power BI, AWS, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/683956
Data Scientist (Data Analytics Background Welcome) Cake by VPBank - Digital Bank Thoả thuận · TP.Hồ Chí Minh Data Scientist 12 ngày trước,TP. Hồ Chí Minh,Thỏa thuận,12 ngày trước,"Python, SQL, Pandas, NumPy, AWS, Azure, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/683955
AI Engineer Intern PIXTA Vietnam Co. Ltd. Thoả thuận · Hà Nội Intern AI Engineer 12 ngày trước,Hà Nội,Thỏa thuận,12 ngày trước,"Python, Excel, Docker, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/683817
[HN] Senior Data Engineer(GCP) SETA International Thoả thuận · Hà Nội Senior Data Engineer 12 ngày trước,Hà Nội,Thỏa thuận,12 ngày trước,"Python, SQL, Spark, AWS, ETL, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/683348
Generative AI Engineer (Banking AI Assistant) - From 5 Years HCLTech Vietnam Thoả thuận · TP.Hồ Chí Minh AI Engineer 12 ngày trước,TP. Hồ Chí Minh,Thỏa thuận,12 ngày trước,"Python, AWS, Azure, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/683237
Team lead AI Engineer Kaopiz Thoả thuận · Hà Nội Lead AI Engineer 12 ngày trước,Hà Nội,Thỏa thuận,12 ngày trước,"Machine Learning, R",https://jobs.xomdata.com/jobs/683068
