Vị trí công việc,Nơi làm việc,Mức lương,Thời gian đăng,Kỹ năng yêu cầu,Đường link chi tiết
[IT Delivery Center] IT Business Analyst - ERP/NG platforms Eurofins Thoả thuận · TP.Hồ Chí Minh Business Analyst 5 ngày trước,TP. Hồ Chí Minh,Thỏa thuận,5 ngày trước,"SQL, Excel, Machine Learning, R",https://jobs.xomdata.com/jobs/683988
Senior Business Analyst Specialist BE GROUP Thoả thuận · TP.Hồ Chí Minh Senior Business Analyst 5 ngày trước,TP. Hồ Chí Minh,Thỏa thuận,5 ngày trước,"SQL, Power BI, Excel, AWS, ETL, Machine Learning, R",https://jobs.xomdata.com/jobs/683984
Senior Business Analyst ITC Group Thoả thuận · TP.Hồ Chí Minh Senior Business Analyst 5 ngày trước,TP. Hồ Chí Minh,Thỏa thuận,5 ngày trước,"Excel, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/683689
Junior Data Analyst (Business Insights) TECHCOOP Thoả thuận · TP.Hồ Chí Minh Junior Data Analyst 5 ngày trước,TP. Hồ Chí Minh,Thỏa thuận,5 ngày trước,"Python, SQL, Power BI, Tableau, Excel, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/683685
"Senior Product Data Analyst, Adtima Zalo Thoả thuận · TP.Hồ Chí Minh Senior Data Analyst 5 ngày trước",TP. Hồ Chí Minh,Thỏa thuận,5 ngày trước,"Python, SQL, Excel, Pandas, Spark, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/683559
"AI Engineer (Agentic Systems, Multi-Agents, LLM Production) / Kỹ Sư AI Production (AI/ML, MLOPs)_Robotics IoT | Edtech range 30-50M Step Up Education Thoả thuận · Hà Nội AI Engineer 5 ngày trước",Hà Nội,Thỏa thuận,5 ngày trước,"Python, Machine Learning, R",https://jobs.xomdata.com/jobs/683412
Binance Accelerator Program - Data Scientist (Recommendation/Square Community) Binance Thoả thuận · Hà Nội Data Scientist 5 ngày trước,Hà Nội,Thỏa thuận,5 ngày trước,"Python, SQL, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/683077
"Senior Data Engineer, GrabX Grab Thoả thuận · Việt Nam Senior Data Engineer 5 ngày trước",Toàn quốc / Chưa rõ,Thỏa thuận,5 ngày trước,"Python, Excel, Spark, AWS, Machine Learning, R",https://jobs.xomdata.com/jobs/683073
Fraud Data Analysis Reporting Senior Officer UOB Thoả thuận · TP.Hồ Chí Minh Senior Data Analyst 5 ngày trước,TP. Hồ Chí Minh,Thỏa thuận,5 ngày trước,"SQL, Excel, Machine Learning, R",https://jobs.xomdata.com/jobs/683071
Senior Data Engineer Zalopay Thoả thuận · TP.Hồ Chí Minh Senior Data Engineer 5 ngày trước,TP. Hồ Chí Minh,Thỏa thuận,5 ngày trước,"SQL, Spark, AWS, Azure, Docker, ETL, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/592891
Senior System Software Engineer - AI Data Platform - Inference Factory Optimization NVIDIA Thoả thuận · Việt Nam Senior Data Scientist 5 ngày trước,Toàn quốc / Chưa rõ,Thỏa thuận,5 ngày trước,"Python, Excel, Docker, Machine Learning, R",https://jobs.xomdata.com/jobs/110958
Senior Deep Learning Engineer - AI for Wireless Systems NVIDIA Thoả thuận · Hà Nội Senior Data Scientist 5 ngày trước,Hà Nội,Thỏa thuận,5 ngày trước,"Python, Machine Learning, R",https://jobs.xomdata.com/jobs/106744
Senior Deep Learning Algorithm Engineer NVIDIA Thoả thuận · TP.Hồ Chí Minh Senior AI Engineer 5 ngày trước,TP. Hồ Chí Minh,Thỏa thuận,5 ngày trước,"Python, Machine Learning, R",https://jobs.xomdata.com/jobs/106278
"AI Safety Scientist, Deep Learning NVIDIA Thoả thuận · TP.Hồ Chí Minh Senior Data Scientist 5 ngày trước",TP. Hồ Chí Minh,Thỏa thuận,5 ngày trước,"Machine Learning, R",https://jobs.xomdata.com/jobs/106160
Business Analyst - Từ 1 Năm Kinh Nghiệm ETC Technology Systems JSC Thoả thuận · Hà Nội Business Analyst 6 ngày trước,Hà Nội,Thỏa thuận,6 ngày trước,"Machine Learning, R",https://jobs.xomdata.com/jobs/685062
Data Analyst CMC Global Company Limited. Thoả thuận · Hà Nội Data Analyst 6 ngày trước,Hà Nội,Thỏa thuận,6 ngày trước,"Machine Learning, R",https://jobs.xomdata.com/jobs/684924
"Business Analyst Mainetti (Vietnam) Thoả thuận · The 7th street, Longthanh IP, Longthanh district, Dongnai Province., Việt Nam Business Analyst 6 ngày trước",Toàn quốc / Chưa rõ,Thỏa thuận,6 ngày trước,"Machine Learning, R",https://jobs.xomdata.com/jobs/684895
"Functional Consultant / Business Analyst - Remote Working Havi Technology Thoả thuận · Quốc tế, Việt Nam Business Analyst 6 ngày trước",Toàn quốc / Chưa rõ,Thỏa thuận,6 ngày trước,"Machine Learning, R",https://jobs.xomdata.com/jobs/684897
Business Analyst / Financial Reporting Assistant (Korean Speaking - FDI company) Navigos Search's Client Thoả thuận · Hà Nội Business Analyst 6 ngày trước,Hà Nội,Thỏa thuận,6 ngày trước,"Excel, Machine Learning, R",https://jobs.xomdata.com/jobs/684898
Chuyên Viên Phân Tích Nghiệp Vụ - Business Analyst (BA) Công Ty TNHH Viettel - CHT (Viettel Idc) $700 - $1500 · Hà Nội 3 năm Business Analyst 6 ngày trước,Hà Nội,Thỏa thuận,6 ngày trước,"Machine Learning, R",https://jobs.xomdata.com/jobs/684899
Data Engineer - MSB - KCN - 3I139 Ngân Hàng Thương Mại Cổ Phần Hàng Hải Việt Nam (MSB) $950 - $1710 · Hà Nội 3 năm Data Engineer 6 ngày trước,Hà Nội,Thỏa thuận,6 ngày trước,"Spark, Machine Learning, R",https://jobs.xomdata.com/jobs/684847
Senior AI Engineer Công Ty Cổ Phần Chứng Khoán SSI Thoả thuận · Hà Nội 5 năm Senior AI Engineer 6 ngày trước,Hà Nội,Thỏa thuận,6 ngày trước,"Machine Learning, R",https://jobs.xomdata.com/jobs/684813
Expert Data Analyst (Sales Commission Project) Công Ty Cổ Phần Chứng Khoán SSI Thoả thuận · Hà Nội 5 năm Expert Data Analyst 6 ngày trước,Hà Nội,Thỏa thuận,6 ngày trước,"Machine Learning, R",https://jobs.xomdata.com/jobs/684814
"Business Analyst, Internship, Vietnam Boston Consulting Group (BCG) Thoả thuận · Hà Nội Intern Business Analyst 6 ngày trước",Hà Nội,Thỏa thuận,6 ngày trước,"Excel, Spark, AWS, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/684604
Data Engineer (with Machine Learning Background)- Automotive FORVIA HELLA Thoả thuận · TP.Hồ Chí Minh Data Engineer 6 ngày trước,TP. Hồ Chí Minh,Thỏa thuận,6 ngày trước,"Python, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/684524
Data Analyst (Hà Nội) Bravestars Games Thoả thuận · Hà Nội Data Analyst 6 ngày trước,Hà Nội,Thỏa thuận,6 ngày trước,"SQL, ETL, Machine Learning, R",https://jobs.xomdata.com/jobs/684485
"AI Engineer Internship - AI Startup, HCMC Onsite only Edtronaut AI Thoả thuận · TP.Hồ Chí Minh Intern AI Engineer 6 ngày trước",TP. Hồ Chí Minh,Thỏa thuận,6 ngày trước,"Python, SQL, Machine Learning, R",https://jobs.xomdata.com/jobs/684459
Senior AI Engineer ( Remote - Vietnam ) AI Talent Agency Thoả thuận · Việt Nam Senior AI Engineer 5 ngày trước,Toàn quốc / Chưa rõ,Thỏa thuận,5 ngày trước,"Python, AWS, Docker, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/684455
Senior/Staff Robotics AI Engineer – Embedded Platform Renesas Electronics Thoả thuận · TP.Hồ Chí Minh Principal AI Engineer 5 ngày trước,TP. Hồ Chí Minh,Thỏa thuận,5 ngày trước,"Python, Excel, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/684449
Data Analytics & Insights Manager (Omnichannel) GSK Thoả thuận · TP.Hồ Chí Minh Manager Data Analyst 6 ngày trước,TP. Hồ Chí Minh,Thỏa thuận,6 ngày trước,"Python, Power BI, Tableau, Excel, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/684447
Data Science Leader/ Manager FE CREDIT Thoả thuận · TP.Hồ Chí Minh Lead Data Scientist 6 ngày trước,TP. Hồ Chí Minh,Thỏa thuận,6 ngày trước,"Excel, Machine Learning, R",https://jobs.xomdata.com/jobs/684441
Senior AI Engineer Talent Match Thoả thuận · Hà Nội Senior AI Engineer 6 ngày trước,Hà Nội,Thỏa thuận,6 ngày trước,"Python, Docker, Machine Learning, R",https://jobs.xomdata.com/jobs/684440
Data Engineer (SQL Developer) - 5PM-2AM Innovature: AI-Driven Outsourcing Partner Thoả thuận · Việt Nam Data Engineer 6 ngày trước,Toàn quốc / Chưa rõ,Thỏa thuận,6 ngày trước,"Python, SQL, Excel, Azure, ETL, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/684439
Digital Data Platform Specialist GSM - Green SM Thoả thuận · Hà Nội Data Analyst 6 ngày trước,Hà Nội,Thỏa thuận,6 ngày trước,"SQL, Power BI, Excel, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/684437
Data Analyst Elitez Asia Việt Nam Thoả thuận · Hà Nội Data Analyst 6 ngày trước,Hà Nội,Thỏa thuận,6 ngày trước,"Power BI, Machine Learning, R",https://jobs.xomdata.com/jobs/684436
VietinBank Hiring | Data Architect VietinBank Thoả thuận · Hà Nội Dữ Liệu 6 ngày trước,Hà Nội,Thỏa thuận,6 ngày trước,"Spark, ETL, Machine Learning, R",https://jobs.xomdata.com/jobs/684435
Robotics Data Engineer VinMotion Thoả thuận · Hà Nội Data Engineer 6 ngày trước,Hà Nội,Thỏa thuận,6 ngày trước,"Python, Machine Learning, R",https://jobs.xomdata.com/jobs/684434
HN | Middle/Senior Business Analyst (Upto 1500$) Misa Thoả thuận · Hà Nội Middle/Senior Business Analyst 6 ngày trước,Hà Nội,Thỏa thuận,6 ngày trước,"Power BI, Machine Learning, R",https://jobs.xomdata.com/jobs/684432
Computer Vision Engineer | AI Tech Lead Verysell AI Thoả thuận · Hà Nội Lead ML Engineer 6 ngày trước,Hà Nội,Thỏa thuận,6 ngày trước,"Python, Excel, Spark, AWS, Azure, Machine Learning, R",https://jobs.xomdata.com/jobs/684430
Senior Business Analyst Headhunt Thoả thuận · Hà Nội Senior Business Analyst 6 ngày trước,Hà Nội,Thỏa thuận,6 ngày trước,"Power BI, Tableau, Excel, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/684431
Data Analyst (HR Dept.) AEON Vietnam Thoả thuận · TP.Hồ Chí Minh Data Analyst 6 ngày trước,TP. Hồ Chí Minh,Thỏa thuận,6 ngày trước,"AWS, Machine Learning, R",https://jobs.xomdata.com/jobs/684429
Data Architect FPT Telecom Thoả thuận · Hà Nội Data Engineer 6 ngày trước,Hà Nội,Thỏa thuận,6 ngày trước,"ETL, Machine Learning, R",https://jobs.xomdata.com/jobs/684428
"Digital Data Platform Specialist GSM | XanhSM Co.,LTD Thoả thuận · Hà Nội Data Analyst 6 ngày trước",Hà Nội,Thỏa thuận,6 ngày trước,"SQL, Power BI, Excel, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/684427
Data Analyst (Middle) Trustify Technology Thoả thuận · TP.Hồ Chí Minh Middle Data Analyst 6 ngày trước,TP. Hồ Chí Minh,Thỏa thuận,6 ngày trước,"Python, SQL, Power BI, Tableau, Pandas, NumPy, AWS, Azure, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/684426
AI Engineer GITS - Global IT Solutions Thoả thuận · Hà Nội AI Engineer 6 ngày trước,Hà Nội,Thỏa thuận,6 ngày trước,"Python, AWS, Azure, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/684425
Lead Data Engineer Zalo Thoả thuận · TP.Hồ Chí Minh Lead Data Engineer 6 ngày trước,TP. Hồ Chí Minh,Thỏa thuận,6 ngày trước,"Python, SQL, Spark, Docker, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/684424
Data engineer (Working time: 5pm to 2am) Innovature: AI-Driven Outsourcing Partner Thoả thuận · Việt Nam Data Engineer 6 ngày trước,Toàn quốc / Chưa rõ,Thỏa thuận,6 ngày trước,"Python, SQL, Excel, Azure, ETL, Machine Learning, R",https://jobs.xomdata.com/jobs/684422
[Vietnam] Freelancer Fulltime Data Scientist Eastgate Software Thoả thuận · Việt Nam Data Scientist 6 ngày trước,Toàn quốc / Chưa rõ,Thỏa thuận,6 ngày trước,"Python, Machine Learning, R",https://jobs.xomdata.com/jobs/684421
Senior Data Scientist Amanotes Thoả thuận · TP.Hồ Chí Minh Senior Data Scientist 6 ngày trước,TP. Hồ Chí Minh,Thỏa thuận,6 ngày trước,"Machine Learning, R",https://jobs.xomdata.com/jobs/684419
Data Management & Analytics California Fitness & Yoga Thoả thuận · TP.Hồ Chí Minh Data Analyst 6 ngày trước,TP. Hồ Chí Minh,Thỏa thuận,6 ngày trước,"SQL, Power BI, Tableau, Excel, ETL, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/684417
[ONSITE PROJECT] MIDDLE DATA ENGINEER AHT Tech Thoả thuận · Hà Nội Middle Data Engineer 6 ngày trước,Hà Nội,Thỏa thuận,6 ngày trước,"Python, SQL, Tableau, Spark, AWS, Azure, ETL, Machine Learning, R",https://jobs.xomdata.com/jobs/684418
Senior AI Engineer AI Talent Agency Thoả thuận · Hà Nội Senior AI Engineer 6 ngày trước,Hà Nội,Thỏa thuận,6 ngày trước,"Machine Learning, R",https://jobs.xomdata.com/jobs/684416
Data Analyst Cake by VPBank - Digital Bank Thoả thuận · TP.Hồ Chí Minh Data Analyst 6 ngày trước,TP. Hồ Chí Minh,Thỏa thuận,6 ngày trước,"Python, SQL, Power BI, Tableau, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/684415
Business Analyst Mageplaza Thoả thuận · Hà Nội Business Analyst 6 ngày trước,Hà Nội,Thỏa thuận,6 ngày trước,"Machine Learning, R",https://jobs.xomdata.com/jobs/684413
Business Analyst Dikshatek VN Thoả thuận · Hà Nội Business Analyst 6 ngày trước,Hà Nội,Thỏa thuận,6 ngày trước,"Machine Learning, R",https://jobs.xomdata.com/jobs/684414
Senior AI Engineer (DS) Pharmacity Thoả thuận · TP.Hồ Chí Minh Senior AI Engineer 6 ngày trước,TP. Hồ Chí Minh,Thỏa thuận,6 ngày trước,"Python, AWS, Azure, Docker, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/684412
Data Engineer (with Machine Learning Background) FORVIA HELLA Thoả thuận · TP.Hồ Chí Minh Data Engineer 6 ngày trước,TP. Hồ Chí Minh,Thỏa thuận,6 ngày trước,"Python, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/684411
AI Engineer Flez Co. Ltd Thoả thuận · TP.Hồ Chí Minh AI Engineer 6 ngày trước,TP. Hồ Chí Minh,Thỏa thuận,6 ngày trước,"Python, Docker, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/684410
[Vietnam | Fulltime] Senior Data Scientist Eastgate Software Thoả thuận · Việt Nam Senior Data Scientist 6 ngày trước,Toàn quốc / Chưa rõ,Thỏa thuận,6 ngày trước,"Python, Machine Learning, R",https://jobs.xomdata.com/jobs/684408
Senior Data Scientist (AI) Pharmacity Thoả thuận · TP.Hồ Chí Minh Senior Data Scientist 6 ngày trước,TP. Hồ Chí Minh,Thỏa thuận,6 ngày trước,"Python, AWS, Azure, Docker, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/684407
Business Analyst Utop Thoả thuận · Việt Nam Business Analyst 6 ngày trước,Toàn quốc / Chưa rõ,Thỏa thuận,6 ngày trước,"Excel, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/684406
Lead Data Analyst Puzzle Studio Thoả thuận · TP.Hồ Chí Minh Lead Data Analyst 6 ngày trước,TP. Hồ Chí Minh,Thỏa thuận,6 ngày trước,"Python, SQL, Power BI, Tableau, Excel, Machine Learning, R",https://jobs.xomdata.com/jobs/684382
"Middle/Senior Data Scientist, Risk/Fraud MoMo (M_Service) Thoả thuận · TP.Hồ Chí Minh Middle/Senior Data Scientist 6 ngày trước",TP. Hồ Chí Minh,Thỏa thuận,6 ngày trước,"Machine Learning, R",https://jobs.xomdata.com/jobs/683985
Business Analyst DHL Express Thoả thuận · TP.Hồ Chí Minh Business Analyst 6 ngày trước,TP. Hồ Chí Minh,Thỏa thuận,6 ngày trước,"Machine Learning, R, Git",https://jobs.xomdata.com/jobs/683914
Senior Analytics Engineer (Tech) MoMo (M_Service) Thoả thuận · TP.Hồ Chí Minh Senior Data Engineer 6 ngày trước,TP. Hồ Chí Minh,Thỏa thuận,6 ngày trước,"SQL, Machine Learning, R",https://jobs.xomdata.com/jobs/683783
Credit Risk Analytics Lead Fundiin Thoả thuận · TP.Hồ Chí Minh Lead Data Analyst 6 ngày trước,TP. Hồ Chí Minh,Thỏa thuận,6 ngày trước,"Python, Pandas, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/683771
Senior AI Engineer Backbase Thoả thuận · TP.Hồ Chí Minh Senior AI Engineer 6 ngày trước,TP. Hồ Chí Minh,Thỏa thuận,6 ngày trước,"Python, AWS, Azure, Docker, Machine Learning, R",https://jobs.xomdata.com/jobs/683466
Senior Machine Learning Engineer (AI/ML) Dai-ichi Life Vietnam Thoả thuận · TP.Hồ Chí Minh Senior ML Engineer 6 ngày trước,TP. Hồ Chí Minh,Thỏa thuận,6 ngày trước,"SQL, Excel, Machine Learning, R",https://jobs.xomdata.com/jobs/683420
"Senior - AI Engineer, Inference MoMo (M_Service) Thoả thuận · TP.Hồ Chí Minh Senior AI Engineer 6 ngày trước",TP. Hồ Chí Minh,Thỏa thuận,6 ngày trước,"Python, SQL, AWS, Azure, Machine Learning, R",https://jobs.xomdata.com/jobs/683080
IT Business Analyst (From 3Yoe + Eng fluent) VMO Thoả thuận · Hà Nội Business Analyst 6 ngày trước,Hà Nội,Thỏa thuận,6 ngày trước,"SQL, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/683069
[Mid-Senior] AI Engineer (English Fluency) Sun* Vietnam Thoả thuận · Hà Nội Senior AI Engineer 6 ngày trước,Hà Nội,Thỏa thuận,6 ngày trước,"Python, Excel, AWS, Azure, Machine Learning, R",https://jobs.xomdata.com/jobs/683064
Senior Software Engineer – Reconciliation & Data Platform Binance Thoả thuận · Hà Nội Senior Data Engineer 6 ngày trước,Hà Nội,Thỏa thuận,6 ngày trước,"SQL, Spark, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/682995
Data Analytics Manager Binance Thoả thuận · Hà Nội Manager Data Analyst 6 ngày trước,Hà Nội,Thỏa thuận,6 ngày trước,"Python, SQL, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/682987
Data Engineer NGSC Thoả thuận · Hà Nội Data Engineer 6 ngày trước,Hà Nội,Thỏa thuận,6 ngày trước,"Python, SQL, Power BI, ETL, Machine Learning, R",https://jobs.xomdata.com/jobs/627165
Senior Machine Learning Engineer MoMo (M_Service) Thoả thuận · TP.Hồ Chí Minh Senior ML Engineer 6 ngày trước,TP. Hồ Chí Minh,Thỏa thuận,6 ngày trước,"Machine Learning, R",https://jobs.xomdata.com/jobs/180129
Deep Learning Algorithms Engineer - ACOT NVIDIA Thoả thuận · Hà Nội Senior AI Engineer 6 ngày trước,Hà Nội,Thỏa thuận,6 ngày trước,"Python, Machine Learning, R",https://jobs.xomdata.com/jobs/111834
Senior System Software Engineer - AI Data Platform - Inference Factory Optimization NVIDIA Thoả thuận · Hà Nội Senior AI Engineer 6 ngày trước,Hà Nội,Thỏa thuận,6 ngày trước,"Python, Excel, Docker, Machine Learning, R",https://jobs.xomdata.com/jobs/79417
"(Senior) Business Intelligence Analyst (Commercial) - BI & Planning, Shopee Shopee Thoả thuận · TP.Hồ Chí Minh Senior Business Analyst 6 ngày trước",TP. Hồ Chí Minh,Thỏa thuận,6 ngày trước,"Python, SQL, Excel, Machine Learning, R",https://jobs.xomdata.com/jobs/78704
Data Engineer WorldQuant Thoả thuận · TP.Hồ Chí Minh Data Engineer 6 ngày trước,TP. Hồ Chí Minh,Thỏa thuận,6 ngày trước,"Python, Excel, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/77435
"Senior System Software Engineer, AI Data Platform NVIDIA Thoả thuận · Việt Nam Senior Data Engineer 6 ngày trước",Toàn quốc / Chưa rõ,Thỏa thuận,6 ngày trước,"Python, Excel, Docker, Machine Learning, R",https://jobs.xomdata.com/jobs/74098
Senior Machine Learning Engineer (LLM) EPAM Systems Thoả thuận · TP.Hồ Chí Minh Senior Data Scientist 6 ngày trước,TP. Hồ Chí Minh,Thỏa thuận,6 ngày trước,"Python, Spark, AWS, Azure, Docker, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/70425
Data & Digital Business Partner - Business Analyst CÔNG TY TNHH DE HEUS Thoả thuận · TP.Hồ Chí Minh Business Analyst 7 ngày trước,TP. Hồ Chí Minh,Thỏa thuận,7 ngày trước,"Python, SQL, Power BI, Azure, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/685104
AI Engineer CÔNG TY CỔ PHẦN VINSMART FUTURE Thoả thuận · Hà Nội AI Engineer 7 ngày trước,Hà Nội,Thỏa thuận,7 ngày trước,"Python, Spark, Docker, ETL, Machine Learning, R",https://jobs.xomdata.com/jobs/684973
Business Analyst Middle/Senior CÔNG TY CỔ PHẦN KHOA HỌC CÔNG NGHỆ SKY GLOBAL Upto 1500$ · Hà Nội Middle/Senior Business Analyst 7 ngày trước,Hà Nội,Thỏa thuận,7 ngày trước,"Machine Learning, R, Git",https://jobs.xomdata.com/jobs/684982
NHÂN VIÊN BUSINESS ANALYST BA Công Ty Phần Mềm BizTech 15 - 25 triệu · Hà Nội Business Analyst 7 ngày trước,Hà Nội,15 - 25 triệu,7 ngày trước,"SQL, Machine Learning, R",https://jobs.xomdata.com/jobs/684983
Data engineer CÔNG TY CỔ PHẦN ADVANCE TECH VIỆT NAM Up to 30 triệu VND · Hà Nội Data Engineer 7 ngày trước,Hà Nội,30 triệu,7 ngày trước,"SQL, Spark, ETL, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/684961
Business Analyst (Data & AI Platform) Công ty Cổ phần hạ tầng viễn thông CMC (CMC Telecom) Thoả thuận · Hà Nội Business Analyst 7 ngày trước,Hà Nội,Thỏa thuận,7 ngày trước,"Machine Learning, R",https://jobs.xomdata.com/jobs/684939
Lead Data Analyst Công ty TNHH Puzzle Studio 40 - 70 triệu · TP.Hồ Chí Minh Lead Data Analyst 7 ngày trước,TP. Hồ Chí Minh,40 - 70 triệu,7 ngày trước,"Python, SQL, Power BI, Tableau, Excel, Machine Learning, R",https://jobs.xomdata.com/jobs/684933
"Chuyên Viên Phân Tích Nghiệp Vụ (Business Analyst – BA) Công Ty Cổ Phần Thép Việt Xô Hà Nội 20 - 30 triệu · Tầng 2, tòa nhà Tứ Hiệp plaza, đường Nguyễn Bồ, phường Yên Sở, Việt Nam 2 năm Business Analyst 7 ngày trước",Hà Nội,20 - 30 triệu,7 ngày trước,"Machine Learning, R",https://jobs.xomdata.com/jobs/684903
"Senior Business Analyst Manager (Commercial Excellence manager, B2B) Avery Dennison Vietnam $3000 - $4000 · Lot E.01, Trung Tam Road, Long Hau IP, Nha Be, Việt Nam 5 năm Manager Business Analyst 7 ngày trước",Toàn quốc / Chưa rõ,Thỏa thuận,7 ngày trước,"Excel, Machine Learning, R",https://jobs.xomdata.com/jobs/684901
Chuyên Viên Phân Tích Nghiệp Vụ | Business Analyst Công ty TNHH Thu Phí Tự Động VETC Đến $1500 · Hà Nội 3 năm Business Analyst 7 ngày trước,Hà Nội,Thỏa thuận,7 ngày trước,"Machine Learning, R",https://jobs.xomdata.com/jobs/684900
Chuyên Viên Phân Tích Kinh Doanh (Business Intelligence Analyst) Công Ty CP Dây Cáp Điện Việt Nam - Cadivi Thoả thuận · TP.Hồ Chí Minh 2 năm Business Analyst 7 ngày trước,TP. Hồ Chí Minh,Thỏa thuận,7 ngày trước,"Machine Learning, R",https://jobs.xomdata.com/jobs/684881
Business Analyst (JP N2+/ Good English) FPT Software Thoả thuận · Hà Nội 3 năm Business Analyst 7 ngày trước,Hà Nội,Thỏa thuận,7 ngày trước,"Machine Learning, R",https://jobs.xomdata.com/jobs/684889
Chuyên Gia Dữ Liệu & Trí Tuệ Nhân Tạo (Data & AI Expert) Công Ty Cổ Phần Tập Đoàn Masterise Thoả thuận · Hà Nội 8 năm Expert AI Engineer 7 ngày trước,Hà Nội,Thỏa thuận,7 ngày trước,"Machine Learning, R",https://jobs.xomdata.com/jobs/684850
Data Analyst (MIS Officer) Shinhan Vietnam Finance $800 - $1000 · TP.Hồ Chí Minh Data Analyst 7 ngày trước,TP. Hồ Chí Minh,Thỏa thuận,7 ngày trước,"Machine Learning, R",https://jobs.xomdata.com/jobs/684851
"Business Intelligence Analyst, MeLive Công Ty Cổ Phần Metub Việt Nam Thoả thuận · Hà Nội 3 năm Business Analyst 7 ngày trước",Hà Nội,Thỏa thuận,7 ngày trước,"Power BI, Tableau, ETL, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/684853
Data & Digital Business Partner - Business Analyst De Heus LLC Thoả thuận · TP.Hồ Chí Minh Business Analyst 7 ngày trước,TP. Hồ Chí Minh,Thỏa thuận,7 ngày trước,"SQL, Power BI, Azure, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/684848
Chuyên Viên Cao Cấp Báo Cáo Và Phân Tích Dữ Liệu Nhân Sự Ngân Hàng TMCP Đại Chúng Việt Nam $900 - $1600 · Hà Nội 3 năm Data Analyst 7 ngày trước,Hà Nội,Thỏa thuận,7 ngày trước,"Machine Learning, R",https://jobs.xomdata.com/jobs/684805
Data Analyst (Anti-Fraud Department) Công Ty Tài Chính TNHH Ngân Hàng TMCP Sài Gòn - Hà Nội (SHBFinance) Thoả thuận · Hà Nội 3 năm Data Analyst 7 ngày trước,Hà Nội,Thỏa thuận,7 ngày trước,"Machine Learning, R",https://jobs.xomdata.com/jobs/684815
Data Engineer - Up to $2000 FPT Software Đến $2000 · Hà Nội 4 năm Data Engineer 7 ngày trước,Hà Nội,Thỏa thuận,7 ngày trước,"AWS, Machine Learning, R",https://jobs.xomdata.com/jobs/684816
Senior Business Analyst (Securities Experience is A Must) Shinhan Securities Vietnam Thoả thuận · TP.Hồ Chí Minh 3 năm Senior Business Analyst 7 ngày trước,TP. Hồ Chí Minh,Thỏa thuận,7 ngày trước,"Machine Learning, R, Git",https://jobs.xomdata.com/jobs/684800
Business Analyst - Mức Lương Upto 23M CÔNG TY CỔ PHẦN TẬP ĐOÀN APEC GROUP Thoả thuận · Hà Nội Junior Business Analyst 7 ngày trước,Hà Nội,Thỏa thuận,7 ngày trước,"Machine Learning, R",https://jobs.xomdata.com/jobs/684786
AI Engineer CÔNG TY TNHH AIRQUAY VINA Thoả thuận · Hà Nội Junior AI Engineer 7 ngày trước,Hà Nội,Thỏa thuận,7 ngày trước,"Python, Excel, AWS, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/684771
Chuyên viên phân tích nghiệp vụ (Business Analyst) Paraline Software Thoả thuận · Hà Nội Business Analyst 7 ngày trước,Hà Nội,Thỏa thuận,7 ngày trước,"SQL, Azure, Machine Learning, R",https://jobs.xomdata.com/jobs/684654
AI Engineer (LLM/VLM) - Offer up $1800 Gross Fetch Technology Vietnam Thoả thuận · Hà Nội AI Engineer 7 ngày trước,Hà Nội,Thỏa thuận,7 ngày trước,"Python, AWS, Azure, Docker, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/684479
