link,kynangchitiet
https://jobs.xomdata.com/jobs/683857,SQL
https://jobs.xomdata.com/jobs/683857,Azure
https://jobs.xomdata.com/jobs/683857,Machine Learning
https://jobs.xomdata.com/jobs/683857,R
https://jobs.xomdata.com/jobs/677021,Machine Learning
https://jobs.xomdata.com/jobs/677021,R
https://jobs.xomdata.com/jobs/626171,Machine Learning
https://jobs.xomdata.com/jobs/626171,R
https://jobs.xomdata.com/jobs/620234,SQL
https://jobs.xomdata.com/jobs/620234,Machine Learning
https://jobs.xomdata.com/jobs/620234,R
https://jobs.xomdata.com/jobs/585319,Python
https://jobs.xomdata.com/jobs/585319,SQL
https://jobs.xomdata.com/jobs/585319,Azure
https://jobs.xomdata.com/jobs/585319,ETL
https://jobs.xomdata.com/jobs/585319,Machine Learning
https://jobs.xomdata.com/jobs/585319,R
https://jobs.xomdata.com/jobs/473929,Python
https://jobs.xomdata.com/jobs/473929,Azure
https://jobs.xomdata.com/jobs/473929,Machine Learning
https://jobs.xomdata.com/jobs/473929,R
https://jobs.xomdata.com/jobs/473929,Git
https://jobs.xomdata.com/jobs/261640,Python
https://jobs.xomdata.com/jobs/261640,SQL
https://jobs.xomdata.com/jobs/261640,Excel
https://jobs.xomdata.com/jobs/261640,Spark
https://jobs.xomdata.com/jobs/261640,AWS
https://jobs.xomdata.com/jobs/261640,Machine Learning
https://jobs.xomdata.com/jobs/261640,R
https://jobs.xomdata.com/jobs/685163,Python
https://jobs.xomdata.com/jobs/685163,SQL
https://jobs.xomdata.com/jobs/685163,Power BI
https://jobs.xomdata.com/jobs/685163,Tableau
https://jobs.xomdata.com/jobs/685163,Excel
https://jobs.xomdata.com/jobs/685163,Pandas
https://jobs.xomdata.com/jobs/685163,ETL
https://jobs.xomdata.com/jobs/685163,Machine Learning
https://jobs.xomdata.com/jobs/685163,R
https://jobs.xomdata.com/jobs/685162,Python
https://jobs.xomdata.com/jobs/685162,SQL
https://jobs.xomdata.com/jobs/685162,Spark
https://jobs.xomdata.com/jobs/685162,Docker
https://jobs.xomdata.com/jobs/685162,Machine Learning
https://jobs.xomdata.com/jobs/685162,R
https://jobs.xomdata.com/jobs/685164,Machine Learning
https://jobs.xomdata.com/jobs/685164,R
https://jobs.xomdata.com/jobs/685159,Python
https://jobs.xomdata.com/jobs/685159,SQL
https://jobs.xomdata.com/jobs/685159,Tableau
https://jobs.xomdata.com/jobs/685159,Pandas
https://jobs.xomdata.com/jobs/685159,NumPy
https://jobs.xomdata.com/jobs/685159,Machine Learning
https://jobs.xomdata.com/jobs/685159,R
https://jobs.xomdata.com/jobs/685106,Python
https://jobs.xomdata.com/jobs/685106,SQL
https://jobs.xomdata.com/jobs/685106,AWS
https://jobs.xomdata.com/jobs/685106,Machine Learning
https://jobs.xomdata.com/jobs/685106,R
https://jobs.xomdata.com/jobs/685103,Python
https://jobs.xomdata.com/jobs/685103,SQL
https://jobs.xomdata.com/jobs/685103,Power BI
https://jobs.xomdata.com/jobs/685103,Tableau
https://jobs.xomdata.com/jobs/685103,AWS
https://jobs.xomdata.com/jobs/685103,ETL
https://jobs.xomdata.com/jobs/685103,Machine Learning
https://jobs.xomdata.com/jobs/685103,R
https://jobs.xomdata.com/jobs/685097,Python
https://jobs.xomdata.com/jobs/685097,Excel
https://jobs.xomdata.com/jobs/685097,Machine Learning
https://jobs.xomdata.com/jobs/685097,R
https://jobs.xomdata.com/jobs/685093,Excel
https://jobs.xomdata.com/jobs/685093,Machine Learning
https://jobs.xomdata.com/jobs/685093,R
https://jobs.xomdata.com/jobs/685093,Git
https://jobs.xomdata.com/jobs/685089,Excel
https://jobs.xomdata.com/jobs/685089,Machine Learning
https://jobs.xomdata.com/jobs/685089,R
https://jobs.xomdata.com/jobs/685089,Git
https://jobs.xomdata.com/jobs/685083,Machine Learning
https://jobs.xomdata.com/jobs/685083,R
https://jobs.xomdata.com/jobs/685082,Power BI
https://jobs.xomdata.com/jobs/685082,Machine Learning
https://jobs.xomdata.com/jobs/685082,R
https://jobs.xomdata.com/jobs/685079,Python
https://jobs.xomdata.com/jobs/685079,SQL
https://jobs.xomdata.com/jobs/685079,Tableau
https://jobs.xomdata.com/jobs/685079,Pandas
https://jobs.xomdata.com/jobs/685079,NumPy
https://jobs.xomdata.com/jobs/685079,Spark
https://jobs.xomdata.com/jobs/685079,AWS
https://jobs.xomdata.com/jobs/685079,Docker
https://jobs.xomdata.com/jobs/685079,ETL
https://jobs.xomdata.com/jobs/685079,Machine Learning
https://jobs.xomdata.com/jobs/685079,R
https://jobs.xomdata.com/jobs/685079,Git
https://jobs.xomdata.com/jobs/685077,Python
https://jobs.xomdata.com/jobs/685077,SQL
https://jobs.xomdata.com/jobs/685077,Spark
https://jobs.xomdata.com/jobs/685077,AWS
https://jobs.xomdata.com/jobs/685077,ETL
https://jobs.xomdata.com/jobs/685077,Machine Learning
https://jobs.xomdata.com/jobs/685077,R
https://jobs.xomdata.com/jobs/685077,Git
https://jobs.xomdata.com/jobs/685074,Python
https://jobs.xomdata.com/jobs/685074,SQL
https://jobs.xomdata.com/jobs/685074,Spark
https://jobs.xomdata.com/jobs/685074,AWS
https://jobs.xomdata.com/jobs/685074,ETL
https://jobs.xomdata.com/jobs/685074,Machine Learning
https://jobs.xomdata.com/jobs/685074,R
https://jobs.xomdata.com/jobs/685074,Git
https://jobs.xomdata.com/jobs/685073,Python
https://jobs.xomdata.com/jobs/685073,SQL
https://jobs.xomdata.com/jobs/685073,Power BI
https://jobs.xomdata.com/jobs/685073,Tableau
https://jobs.xomdata.com/jobs/685073,AWS
https://jobs.xomdata.com/jobs/685073,Azure
https://jobs.xomdata.com/jobs/685073,ETL
https://jobs.xomdata.com/jobs/685073,Machine Learning
https://jobs.xomdata.com/jobs/685073,R
https://jobs.xomdata.com/jobs/685071,Python
https://jobs.xomdata.com/jobs/685071,SQL
https://jobs.xomdata.com/jobs/685071,Pandas
https://jobs.xomdata.com/jobs/685071,NumPy
https://jobs.xomdata.com/jobs/685071,Docker
https://jobs.xomdata.com/jobs/685071,Machine Learning
https://jobs.xomdata.com/jobs/685071,R
https://jobs.xomdata.com/jobs/685071,Git
https://jobs.xomdata.com/jobs/685070,Python
https://jobs.xomdata.com/jobs/685070,SQL
